iter	RMSE
379	0.1496425079
380	0.1488705162
381	0.148081483
382	0.147462862
383	0.1468187119
384	0.1460978686
385	0.1454636893
386	0.1448349951
387	0.144128453
388	0.1435094877
389	0.1427485545
390	0.1420078984
391	0.1414003867
392	0.1406537149
393	0.1399681913
394	0.1393729727
395	0.1386380583
396	0.1377670029
397	0.1370998027
398	0.1362418035
399	0.135583099
400	0.134929527
401	0.1342810498
402	0.1334423492
403	0.132799652
404	0.1321619936
405	0.1315317017
406	0.1309063362
407	0.1300895021
408	0.1294697181
409	0.1288339789
410	0.1281558258
411	0.1275485941
412	0.1268784444
413	0.1262764777
414	0.1256574963
415	0.1249980552
416	0.124343651
417	0.1237360958
418	0.1230894745
419	0.1223879056
420	0.1216932608
421	0.1211150935
422	0.1205434682
423	0.1199145228
424	0.1193500036
425	0.1187899138
426	0.1181709538
427	0.1176157207
428	0.1170039952
429	0.1164556351
430	0.1158588022
431	0.1153170673
432	0.1147816142
433	0.1141863598
434	0.1135387508
435	0.113066941
436	0.1125440237
437	0.1119613963
438	0.111442927
439	0.1109305508
440	0.110422214
441	0.1098509943
442	0.1093489619
443	0.1087843738
444	0.1082885639
445	0.1077305221
446	0.1072408539
447	0.1066892743
448	0.1059633683
449	0.1054826766
450	0.1050057866
451	0.1045326718
452	0.1040633062
453	0.1034193881
454	0.1029560667
455	0.1024276599
456	0.1017349636
457	0.1012801345
458	0.1008289201
459	0.1003812955
460	0.09993723583
461	0.09942503527
462	0.09891344724
463	0.09840737694
464	0.09780235385
465	0.09730037816
466	0.09687182627
467	0.09638088193
468	0.09583615023
469	0.09545110538
470	0.09503255992
471	0.09444988046
472	0.09407214226
473	0.0935934055
474	0.09311682526
475	0.09254776163
476	0.09207805226
477	0.09155752364
478	0.09110638303
479	0.09074356699
480	0.09019098904
481	0.08983259967
482	0.08947736331
483	0.08903834689
484	0.08868755165
485	0.08818997469
486	0.08776028287
487	0.08741565142
488	0.08699173692
489	0.0866513789
490	0.08623316069
491	0.08578968248
492	0.08545504175
493	0.08504489423
494	0.08471437539
495	0.08424483066
496	0.08384342793
497	0.08351863424
498	0.08319666108
499	0.08276993167
500	0.08237744074
501	0.08206082991
502	0.08167360338
503	0.08130283419
504	0.08081178045
505	0.08032531047
506	0.0798433749
507	0.07936592502
508	0.07889291275
509	0.07842429066
510	0.07796001194
511	0.07756622832
512	0.07723112519
513	0.0767747551
514	0.07638764195
515	0.07605881485
516	0.07566784336
517	0.07534316574
518	0.07502114572
519	0.07463606351
520	0.07431811073
521	0.07394394352
522	0.0735650386
523	0.07325245222
524	0.07294243532
525	0.07256919607
526	0.07226309673
527	0.0719000383
528	0.07163214028
529	0.07126646757
530	0.0710175389
531	0.07075571552
532	0.07033644762
533	0.06998485338
534	0.06974286078
535	0.06938733855
536	0.06914856973
537	0.06889753856
538	0.06854726078
539	0.06831349214
540	0.06808182389
541	0.06767812024
542	0.06727818011
543	0.0668819636
544	0.06654805136
545	0.06626654042
546	0.06592929558
547	0.0657065408
548	0.06520454828
549	0.0648732306
550	0.06437902314
551	0.06389013528
552	0.06340650819
553	0.06303269582
554	0.06266236019
555	0.06229546457
556	0.06193197269
557	0.06157184876
558	0.06126443117
559	0.06080181402
560	0.06034416094
561	0.06005235424
562	0.05976296691
563	0.05947597997
564	0.05919137466
565	0.05884757141
566	0.05856700643
567	0.0582280562
568	0.05789224483
569	0.0576052611
570	0.05727363678
571	0.05699054502
572	0.05669943023
573	0.05645984952
574	0.05603515852
575	0.05561500125
576	0.05535093754
577	0.05508907189
578	0.0548293872
579	0.05457186653
580	0.05424727465
581	0.05399331798
582	0.05367288005
583	0.05342244187
584	0.05314584903
585	0.05287183209
586	0.05263296572
587	0.05232160814
588	0.05208600815
589	0.05177859321
590	0.0515462191
591	0.05124269836
592	0.05101351017
593	0.05071383589
594	0.05048779419
595	0.05019191929
596	0.04987732943
597	0.04958615787
598	0.0492977019
599	0.04907862843
600	0.04879425756
601	0.04861409973
602	0.04824792172
603	0.04788563783
604	0.04760486543
605	0.04732720613
606	0.04705267382
607	0.04670002941
608	0.04635113433
609	0.04600594757
610	0.04566442859
611	0.04539809606
612	0.04513418479
613	0.04487133995
614	0.0445386158
615	0.0442094238
616	0.04388372545
617	0.04356148267
618	0.04324265786
619	0.04292721382
620	0.04267735265
621	0.04242973847
622	0.04218435106
623	0.04193683451
624	0.04163111532
625	0.04132863586
626	0.041029361
627	0.04073325599
628	0.04044028651
629	0.04015041862
630	0.03986361879
631	0.03964740195
632	0.03943298188
633	0.03920546559
634	0.03897363289
635	0.03869529863
636	0.03841990829
637	0.03821942561
638	0.03802049794
639	0.03775118456
640	0.03755536337
641	0.03736106166
642	0.03709768064
643	0.0369064095
644	0.03664732503
645	0.03645903336
646	0.03627220336
647	0.03601881185
648	0.03583488884
649	0.03558562581
650	0.03540456103
651	0.03522490263
652	0.03498110391
653	0.03480423453
654	0.03456440365
655	0.03439027672
656	0.03421750332
657	0.03398291833
658	0.03381282128
659	0.03358205056
660	0.0334145854
661	0.03324842323
662	0.03302268971
663	0.03285909627
664	0.03263703019
665	0.03247596303
666	0.03231615051
667	0.03209892221
668	0.03194157562
669	0.03172787435
670	0.03157295314
671	0.03141924029
672	0.03121018618
673	0.03105884104
674	0.03085317964
675	0.03070416347
676	0.03055631136
677	0.03035511491
678	0.03020953663
679	0.03006509702
680	0.02991852159
681	0.02972219661
682	0.02952798002
683	0.02938735729
684	0.02924783603
685	0.02905783076
686	0.02892045296
687	0.02874540472
688	0.02856386904
689	0.02845052919
690	0.02826685082
691	0.02813410376
692	0.02800239715
693	0.02789135245
694	0.02771218299
695	0.02758288656
696	0.02741800827
697	0.02730926917
698	0.02718240494
699	0.02700915009
700	0.02688422564
701	0.0267250069
702	0.02657657905
703	0.02642950667
704	0.02632463225
705	0.02622061328
706	0.02611744369
707	0.0260131008
708	0.02589290821
709	0.02572829158
710	0.02560993775
711	0.02549251536
712	0.02535182797
713	0.02525045673
714	0.02514991394
715	0.02499052898
716	0.02487619437
717	0.02476276036
718	0.02460681542
719	0.02449511711
720	0.02435685467
721	0.02422014967
722	0.0240866618
723	0.02399081002
724	0.02389574308
725	0.02374517081
726	0.02359624676
727	0.02347919238
728	0.02336339681
729	0.02323280499
730	0.02310367719
731	0.02297599714
732	0.02288507155
733	0.02275945473
734	0.02263524678
735	0.02251243207
736	0.02239099515
737	0.02227768833
738	0.0221904796
739	0.02207173645
740	0.02195432723
741	0.02183823714
742	0.02173357392
743	0.02162977214
744	0.0215268244
745	0.02137850288
746	0.0212657708
747	0.02116476246
748	0.02106458427
749	0.02096522917
750	0.02082081803
751	0.02067799261
752	0.02056903695
753	0.02044927617
754	0.02035295378
755	0.02023479161
756	0.02009601156
757	0.02001751061
758	0.01990155217
759	0.01980829494
760	0.01967257859
761	0.01953835707
762	0.01943639984
763	0.01933532191
764	0.01926017596
765	0.01912870194
766	0.01902948234
767	0.0189560793
768	0.01882686516
769	0.0186990763
770	0.01862636617
771	0.01855465201
772	0.01842888998
773	0.01830451785
774	0.01823404757
775	0.01813772442
776	0.01804300638
777	0.01797297665
778	0.01785511076
779	0.01778614474
780	0.01771776024
781	0.01759769654
782	0.01747896275
783	0.01741205024
784	0.0172949383
785	0.01720518439
786	0.01711636265
787	0.01702984087
788	0.01696452883
789	0.01687730505
790	0.01681298243
791	0.01672837059
792	0.01664271454
793	0.01657969156
794	0.01649521152
795	0.01643314383
796	0.01635074668
797	0.01626280665
798	0.01620168402
799	0.01611950634
800	0.01605930941
801	0.01597913054
802	0.01591974257
803	0.01583944385
804	0.01576070378
805	0.01567565313
806	0.01561755974
807	0.01555995478
808	0.01548184309
809	0.01540520787
810	0.01534875847
811	0.01529278393
812	0.01521747284
813	0.01513495284
814	0.01507981957
815	0.0150251498
816	0.0149700395
817	0.01488882534
818	0.01483501538
819	0.01476240105
820	0.01468260682
821	0.0146296032
822	0.01457704535
823	0.01452493002
824	0.01445419954
825	0.01435539175
826	0.01425820362
827	0.01416260694
828	0.01406857396
829	0.01399114141
830	0.01391481989
831	0.01383958365
832	0.01375318162
833	0.0137043239
834	0.01363001177
835	0.01356955798
836	0.01348149195
837	0.01340578654
838	0.01334687034
839	0.01326443684
840	0.0131930263
841	0.01311233385
842	0.01303154023
843	0.01298551715
844	0.0129127546
845	0.01285615019
846	0.01280020497
847	0.01272183627
848	0.01265373818
849	0.01257588257
850	0.01248414272
851	0.01244023448
852	0.01236436406
853	0.0122749767
854	0.01223189912
855	0.01214399011
856	0.01207087561
857	0.01198499423
858	0.01192421802
859	0.0118825133
860	0.01181149778
861	0.01172811216
862	0.0116627622
863	0.01160376048
864	0.01153220674
865	0.0114920718
866	0.01142759659
867	0.01135455871
868	0.01129182878
869	0.01122076762
870	0.01115972265
871	0.01111161957
872	0.01105171324
873	0.01100441573
874	0.01093671992
875	0.01087864626
876	0.01083247552
877	0.01077546668
878	0.01073005325
879	0.01068516043
880	0.01062940974
881	0.01058524597
882	0.01052203733
883	0.01046723907
884	0.01042402609
885	0.01037084642
886	0.01032832417
887	0.01026252656
888	0.01019763483
889	0.0101376725
890	0.01008634211
891	0.01002268873
892	0.009981702609
893	0.009919115636
894	0.009861427018
895	0.00979990506
896	0.009750480684
897	0.009710551464
898	0.009671096375
899	0.009632109821
900	0.009586933655
901	0.009547942712
902	0.009482479299
903	0.009438168213
904	0.009400803519
905	0.00935319434
906	0.009306206585
907	0.009252634279
908	0.009206996865
909	0.009170006381
910	0.00912516431
911	0.009067870258
912	0.00903163166
913	0.008975311594
914	0.008913828
915	0.008872997958
916	0.008828691973
917	0.008793635979
918	0.008738935876
919	0.008679127151
920	0.008626084603
921	0.008597759247
922	0.008563585797
923	0.008522063756
924	0.008488419727
925	0.008438124524
926	0.008405874072
927	0.008378751429
928	0.008347954835
929	0.008302552077
930	0.008271239204
931	0.008244827309
932	0.008212577872
933	0.008177806144
934	0.008133380172
935	0.008103028867
936	0.008077404397
937	0.008050244843
938	0.00802257181
939	0.007976144293
940	0.007949718862
941	0.007922797298
942	0.007886184645
943	0.007853448968
944	0.00782788834
945	0.007802614044
946	0.007776719498
947	0.00775109086
948	0.00771945836
949	0.007677025228
950	0.007652618736
951	0.007627632913
952	0.00760365917
953	0.007579087541
954	0.007554767286
955	0.007524468816
956	0.007474675936
957	0.007444885975
958	0.007403815389
959	0.007380977111
960	0.00735839343
961	0.007335217309
962	0.007312277022
963	0.007289570075
964	0.007263959864
965	0.007241596068
966	0.00721945911
967	0.007194385329
968	0.007172580609
969	0.007150996541
970	0.007121803892
971	0.007097391963
972	0.007076309629
973	0.007055440315
974	0.007031531996
975	0.007010972031
976	0.006990619519
977	0.006970472403
978	0.006947149091
979	0.006927298842
980	0.006907648739
981	0.006886374551
982	0.006863665784
983	0.00684444363
984	0.006825415295
985	0.006803165399
986	0.006784414851
987	0.006765853342
988	0.006747479059
989	0.006727399893
990	0.006705812585
991	0.006687835609
992	0.006670040155
993	0.006653599249
994	0.006636056973
995	0.006618692118
996	0.006601503004
997	0.006585443578
998	0.006568499165
999	0.006551726546
